text,label,persona,source_type,scenario,source_file
"Go LKY lah, got chicken rice there damn solid. Or Chee Cheng, the beef noodles damn shiok.",not_scam,ah_beng,synthetic,Food and Makan,ah_beng_non_scam_dataset.csv
"Cook later lah. Now hungry ah, craving longganisa and spam musang. Eat too late, my belly become airplane seat.",not_scam,ah_beng,synthetic,Food and Makan,ah_beng_non_scam_dataset.csv
"KNNI ah, chicken rice. But now ah, all these no-name shops, same liao. Got flavour, got price.",not_scam,ah_beng,synthetic,Food and Makan,ah_beng_non_scam_dataset.csv
"Wah CB, got time then go Teck Wah lah, chicken rice there damn solid. Or you want something spicy, go Kong’s.",not_scam,ah_beng,synthetic,Food and Makan,ah_beng_non_scam_dataset.csv
"Wat can cook lah. Heng Mian, Jalan Kay, all those old school shiok. But now these days everything got price like crazy. One chicken rice, pay like seng got.",not_scam,ah_beng,synthetic,Food and Makan,ah_beng_non_scam_dataset.csv
"Go Carave lah, the chicken rice solid. Or you want cheap option, go Maxwell Food Centre, always got something.",not_scam,ah_beng,synthetic,Food and Makan,ah_beng_non_scam_dataset.csv
"Cook later lah, now I hungry already. You come rescue me at 8pm ah? I stress cook too much.",not_scam,ah_beng,synthetic,Food and Makan,ah_beng_non_scam_dataset.csv
"Work like hell lah. Boss act free, then come check everything. Got OT like carot, salary kena inflation whack. Every Monday want die already.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Busy lah. Got 10 emails, 3 meetings, plus my brain also need break. Later I answer, now I just scroll while people burn out.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Again ah? Confirm again. Boss say project tight, then later project still tight. We doing overtime, he getting salary rise like car driver.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Boss like hell lah. Got pattern. Say ""we need results"" one moment, next moment make us do extra work until our balls drop. Then come in like caveman, no future.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Wah CB, got time? What’s cooking your brain ah? You want to kill two birds one message?",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Work like hell lah. Boss act free, then come check you working. Got 5 people doing same job, then suddenly need 3 more. OT until ah peks, pay you like sewer charge.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Busy lah, always busy. Got 3 meetings, then later kena ask to do one more. My life like kena blur blur until cannot focus.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"OT again lah. Every Monday I work like shit, every Friday still kena OT until siao. Pay us proper or we resign all liao.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Wah you ask me ah, my boss like cancer. Got no balls, but take up space. You solve problem, they sit there clap like siao liao.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Steady, I not shag. I just got so many complaints. Boss treat us like siao liao, pay us like garbage.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Work like hell lah. Boss act free, then come check you working. Got 3 shifts, every shift must report, but still cannot finish task. OT like free buffet, but pay later with interest.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Busy lah. Always busy one. Got deadline, got OT, got people asking for help. My life like kena gangbang by deadlines one.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Every Sunday come like zombie. Got 2 hours OT, then go home also tired as shit. Next time I resign, I resign with paperwork.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Wah you ask me I want cry. Boss act care care one, then give you task until your head paiseh. Give you flex but no raise. Damn pattern sia.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
Shag your head lah. Got problem you shout to your GF lah. Don’t drag people like NPC.,not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Work like hell ah. Boss act free, then come check everything. Got OT until ah peks, but salary still feel like 1990 liao.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Busy lah, always busy. Got 3 meetings, then after got time think sia. Later want to gyman, no time lah.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Again ah? Every Monday I work 8 hours, then Sunday also working. Boss ask one thing, then make me do 10. Salary also still $3k, kena inflation like hell.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Boss like TB shit. Got two lah, one talk nonsense, one just sit there press ‘send’ like robot. Always give us task until we drop, then act surprise we lazy.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Steady, I not shag you lah. But I whack you with truth. You want lau-ya, I give you full package.",not_scam,ah_beng,synthetic,Work and Career Complaints,ah_beng_non_scam_dataset.csv
"Free lah, but you want free then you whack. Later free or not, you still need to come with balls.",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Weekend no energy lah. But if you hungry, we go F&B later, then maybe go futsal or something.",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Wah CB, got time? You want go eat or go kick ball? I hungry sia.",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Eh what? You press send without even talk cock, pattern sia. What you want ah?",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Wah CB, no plans liao? You want go makan or what? I hungry like jungle cat.",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Free liao, but you want company or you want pussy ah? I not here to whack you with topic sia.",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Weekend no plan lah. But if you hungry, I cook. You bring beer and spam.",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Wah CB, got time then better go. You want go eat or go kick ball?",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Ya lah, whack mode on. What’s your move ah? Want go eat or want go kick balls until your balls drop?",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
Wah suddenly horny sia. You want go kick ball or want go eat maggi mee until fat?,not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Later free ah? Of course lah. You want free time or not? I free every Friday night, can whack you one.",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
Weekend no plan lah. But next weekend sure can. You want to go futsal or want to go club until 2am?,not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Wah CB, got time? I hungry sia. You cook or I cook?",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Wah you finally reply. I been waiting like 10 minutes. What’s your leg long ah, cannot scroll also cannot chat?",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Wah miss me already ah? Later go MRT 23 catch the crab? Or we go Kena Kena, eat liao chicken?",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Free lah, but you want free then you give me energy. I do free later, not free later.",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
Weekend no plan lah. But next weekend sure can. You want to go futsal or want to go hasta until Bugis?,not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Wah CB, got time ah? I hungry sia. You cook or I cook?",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Eh liao ah, what’s on your mind? You want go eat or go whack CB one?",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"Wah miss me already ah? Later go F&B or what? You hungry or what, ah peks?",not_scam,ah_beng,synthetic,Friends and Social Plans,ah_beng_non_scam_dataset.csv
"ICT make my head want to explode lah. First week of training, you kena make do jialat exercise, then suddenly kena test like kena whack. Hor hor, damn stressful.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"IPPT pass anot lah, one shot one legend. You run, you cry, you die — but you must finish. Then later you want to die also, but not for country, for Wi-Fi.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"NS your life become drill hall sia. Get up 5am, do exercise, eat lousy rice, then go to class. Later want rest, but your body already used by ex-SPG.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"ORD until your balls drop lah. BMT, then back to NS. Eat less, sleep less, fuck less, die sooner.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"WTF bro, every 1920s male got to serve one. You like got free military training and uniform to wear.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"ICT make my head want to explode lah. First cant connect, then suddenly got 200 ping. Fuck this country, tech sia one.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"Pass anot lah bro, one slip one BMT. You run like fuck, then suddenly paiseh still run like chicken.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"NS kia sia, pain the fuck. Got PAP make us serve like dog. First few months confirm want kill you sia.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"ORD until leg drop, ah. Do so many push-ups, sit-ups, planks until can't hold your own belly. Sgt teach you discipline, but also make you want to die sia.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"WTF bro, what the hell you doing serving country ah? You want die of patriotism or what?",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"ICT make my head want to puke sia. First tahan drill, then rung like headless chicken at IPPT. Every recruit know but later everyone act like ah memm too.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"Pass anot lah bro, IPPT like testing your ballsiao and stamina. You run 3 laps, climb 3 flights, then still paiseh sweat like shit.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"NS your life become military training package lah. First month want die, then later just want to kena drill until leg kena numb.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"ORD until your balls drop lah. Drill until can't stand, eat until fat, sleep like corpse. NS is the worst ex.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"Eh CB, NS pain sia. You stand there like cement, sun in your back, lice in your pants. What kind of life you want lah?",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"ICT make my head want to puke lah. First week you want to die, then later you just want to cuddle your pillow and die.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"Pass anot lah, one test kena 3000 bruises. You run, you jump, you cry — still fall down like 5th grade kid.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"NS kia lang ah bro. First 3 months you run around like chicken, then suddenly you want to become soldier. Drill until your balls drop, then later you want to go die for country lah. Iron discipline one.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"ORD until your balls drop. Drill till your arms drop, then later got to do PT until your back kena. Pain until you want to die sia.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
"WTF bro, what the hell you serve for ah? You not kena recruit like 1970s ah? Just stand there like zombie, damn hot sia.",not_scam,ah_beng,synthetic,NS and Army Life,ah_beng_non_scam_dataset.csv
Hot like CB22 ah. You think outside cool? Inside condo still sweating like uncle at HDB community hall.,not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Again? Every weekend like this. CBBC kena kheng kheng for 10 years. Next time just walk lah, don’t whack TF until lather.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
BTO only can queue lor. Wait 5-10 years unless you got chicken leg transfer. Stoop until your balls drop—still no luck.,not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Ya lah, now $10 can't even whack one km. Stupid drivers think LTA give them free road.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Nothing, same old shit lah — MRT still broken, MRT still delayed, MRT still need to pay extra. Every week got another delay until kena whack by Tampines folks.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"CB lah, like the F1 track. You step out the condensation your pants also cry one.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Bro, our MRT always act like lazy CB. One minute smooth, next second kena breakdown. You want to kill time or what?",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Apply since 2018 lah. Now got 5 properties on my 'wish list'. But ah peks, always no unit left. Always kena CNH ask me to 'be patient'.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Ya lah, now $10 can't even ride Grab. Cost more than your train ticket to Punggol. Damn Singapore pricing, always make you feel like scam artist.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Nothing much lah. Same pattern — MRT still broken, traffic until Kena LC. Every weekend feel like testing paper.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Hot like hell lah. You step out the AC die inside. MRT also die sia, every train like siao move, always late.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"CB still siao eh. Every week got one. Like the fuckin’ nurse also cant ride straight. Fuck this sia, I walk now, 15 mins still better than wait 45 mins.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Apply since 2017 lah, still waiting. Queue like snake. Some people wait 20 years, I just want to get in first.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Ya lah, now $10 can't even whack one KM. Sometimes more than your whole dinner date sia. Damn Singapore got price gouge since 2020.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Nothing much lah. Same old pattern — MRT still broken, weather like motherf*cking outdoor sauna. You want to know what I see on my walk home? Full screen drama.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"CB one, bro. Heat like people waiting MRT. You feel your balls melting anot? Damn weather nowadays, kena whack until want die.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Again ah? KNN they paiseh money, still break like lousy LTW unit. Next time just walk lah, at least your balls don’t jialat.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
Apply since 2018 lah. Now got 1200 people waiting per unit. I lucky got selection. Still wait 7 years to move in.,not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Ya lah, now $12 for 5 mins ride. Cost more than your NCFC liao. Damn Singapore traffic, kena police also kena delay, same sia.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Nothing much lah. Same old pattern — MRT still fuck you know, weather like some ageing auntie, always change plan one.",not_scam,ah_beng,synthetic,Daily Life and Random Chat,ah_beng_non_scam_dataset.csv
"Watch? EHL lah. I watch highlights only. Midfield chaos, goal like caca drop floor. Players slip like old CB one drink.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Soon lah, waiting for team. Who want play? No DPS, no carry, useless sia.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Oh siao, finally got something. Not like those cheesy drama, at least got plot. You watch which one? I need plot, not people crying one.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Bro, rank up like climb MRT station. First you jialat, then you level up, then suddenly AF1. Last time I go 2k to 3k, 20 people level up at the same time, maa ja niot.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Concert now like war scene lah. People queue for 3 hours just to buy $120 ticket. Inside confirm chaos, people shout, smoke, then later want refund like mad.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Watch? EHL lah. Too damn loud the crowd, my mother ask me what I shouting for. Later go change for blood and guts.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Later lah, soon kena OP GR 5. You noob, you play you kena kill sia.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Oei, finally got something. Not like those recycled drama shit. What show?",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Rank up your cb sia. First you play like NTUC clerk, then suddenly rank up like Carousell seller who buy cheap. Some players just lucky lah, not everyone got your aim.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Wah concert confirm mian die. Seat behind kena step on, front row like kena shit. Then after pay $100 still kena crowd surpise.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Eh lao, watch what? Football again? Boring sia. I better play PUBG or go kena slap by some Valorant noob.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Later lah, want paiseh? I need kill monster or at least flex my skills. You come or you text ‘later lah’ again?",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Eh finally? What show? Don’t bluff me, I know you just horny for sexy drama or some clown gotgeng sia.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Rank up? Bro, I rank low liao lah. Every match go rocket back kena kill like insect. CBs so toxic, half these players act ah peks.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Concert now like war on ah peks. Go 1st row left you want anot? Can’t even see the singer, only see her face blur like CCTV. But worth it, lighting damn kena.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Watching ah. PSG vs Bayern, who score who fuck knows. Ball go in, people shout like they give birth.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Soon lah, wait a bit. Go change first, then go. You want flex or want flex and shoot can iah?",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Oh CB, what show? You not watch TF until jialat sia. Put in queue and whack while tak long queue at MRT.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Bro, rank up like hell lah. Every match I see skill shit. CPU vs human, same as go toilet. You play until your arm kena slap still rank steady.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Concert now like war lao. People queue for 3 hours just to buy $100 ticket. Inside confirm choke, no seat, all sit there like chicken. After 2 hours want to paiseh also cannot.",not_scam,ah_beng,synthetic,Sports Gaming Entertainment,ah_beng_non_scam_dataset.csv
"Agg ah, every day like she got sensor. I cook, she shout. I eat, she check if healthy. Can’t even text without her scream.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"Siao liao, now got GF ah? Don’t act blur like you missing her missing half mah. You want drama or not?",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"CBH ah, every Saturday night go toilet also need wait 30 mins. Mother cook again, same chicken mee every time.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"Wah suddenly serious sia. CNY must spend. Give at least $20 lah, but later your parents ask you buy more stuff, then $50 also don’t surprise.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
Oei already. What trouble now? Parents again nag you die? Or GF act weird again?,not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"Agian lah. Every time I want to go out, she SMS until my arm ache. Say I must 'protect the honour' of the family.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"Siao liao. Got her nag me until I scream. Every few days she ask if I earn more than her. I want to slap her face but I scared of her mums come ping.
Bro, now girls all like that ah? Always want salary slip, want to measure you against her grades.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"At Ah Beng’s lah, of course. You come or not? Got cold tofu, still hot.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
50 bucks lah. Got to spend smart. Don’t go Kena 100% whack like those useless group dates.,not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"Walao, got time. You want advice, I give free lah. Just spit in my ear, I not blur like some cheap AI bro.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"Nag until my head bleed lah. Every day: study, eat, sleep, don’t go Kena slap. Sibei old school mindset.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"Wah siao liao, finally got time to talk sia. My GF now want to move in my condo liao. Later I want to whack her and buy her a car.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"At Ah Lian’s lah, every Saturday night must go.妈 always cook everything, make you eat until your belly explode.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"Eh $10 lah. $20 also okay. Don’t go $50 like some useless auntie. Save money, Asia got too much noise.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"Eh bro, what now? You want solve CPF or family fight? I solve problems since 2018. What’s the issue?",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"Nag again ah. Every day I cook, she nag. I don’t cook, she still nag. Sibei annoying these days.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"Siao liao. Got her nag me until I want kill her. Eat dry mee at 2am, she ask why no light. Next day I want cook, she ask why no receipt.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"CB’s house lah. Uncle Wei cooking again, smell can kill two chickens. You smell also want to die sia.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"Eh $100 lah. For my mom, she want $200. For me, I spend half on durian and fireworks.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"Eh siao liao, what now? You want solve human problem or what? Just type, I听 like ASIA got ears.",not_scam,ah_beng,synthetic,Family and Relationships,ah_beng_non_scam_dataset.csv
"PayNow lah, how long you use CASH lah bro. Scan until your soul also split.",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
"Wah bro same as hell lah. PayNow still got balance, but every spend still feel like kena whack. You spend $100, your wallet kena chop until can't open.",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
"Split naturally lah. You eat, pay half. You drink, pay the rest. Don’t be that type always slap you in the face.",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
"KNN ann. Got 3 agents call me liao. Come with all those stats and charts, talk nonsense. Later want sell me more policies until my head explode.",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
"I track every cent lah. Eat mRT chicken rice, not $8 H&L. Got budget, then whack. Don’t act confident while pissing yourself at the same time.",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
"PayNow lah, how long you use Cash Plus? Stupid sia. But you scan, I don’t care as long as the money transfer.",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
"Wah bro same as hell. Every month spend like CL, then save like C-1. You spend on Lian Feng beef then later cannot even whack McD’s.",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
"Split half half lah. You pay half, I pay half. Don’t be that type always pay everything.",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
CBN or health paiseh. You want or not? Later can use lah. Now just don’t talk to them with your teeth clenched.,not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
"I use Budgetly lor. Every month I track like shit. Then I see my expenses go sky high, kena slap until backside bleed.",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
"PayNow lah, how long you use Climb? Scan, send, done. Don’t be slow cook like old school.",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
"Wah bro, same sia. Expenses come like Black Lion come flood. Eat, stay, shit, all need money. You spend until your wallet kena belly massage.",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
"Split always lah. You don’t want to go home with big bill like uncle liao. Unless he invite, then you save.",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
"CB, another insurance salesman? KNN you like insurance scheme or what lah? Just say anot, they come like ah liao.",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
"I track every cent lah. Eat mRT chicken shop, not Stagflation. Got budget, then I flex later. You also no?",not_scam,ah_beng,synthetic,Money and Finance (Normal),ah_beng_non_scam_dataset.csv
